image	outlines	result
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/12.png	"[ { ""shape"" : ""rectangle"", ""left"": 0.053760844192649544, ""top"": 0.8979220937703366, ""width"": 0.9403917411084903, ""height"": 0.0756567832688646 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/974.png	"[ { ""shape"": ""rectangle"", ""left"": 0.7640500711799444, ""top"": 0.4426166980949111, ""width"": 0.05701414339488986, ""height"": 0.04384042086804035 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/13.png	"[ { ""shape"": ""rectangle"", ""left"": 0.8337101164639648, ""top"": 0.7213228587502185, ""width"": 0.11342359805453384, ""height"": 0.042131378438643674 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/373.png	"[ { ""shape"": ""rectangle"", ""left"": 0.6014297448693008, ""top"": 0.5829060448726401, ""width"": 0.04660412099956146, ""height"": 0.04208680403331877 } ] "	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/9.png	"[ { ""shape"": ""rectangle"", ""left"": 0.038913923816932115, ""top"": 0.2584869304491417, ""width"": 0.36752448631890106, ""height"": 0.09644892590968868 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2837.png	"[ { ""shape"": ""rectangle"", ""left"": 0.003021620734121548, ""top"": 0.29355926714357394, ""width"": 0.14417360806663745, ""height"": 0.04384042086804035 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/88.png	"[ { ""shape"": ""rectangle"", ""left"": 0.6752826210046164, ""top"": 0.5091565011859619, ""width"": 0.09064436364676387, ""height"": 0.06635687865050155 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/148.png	"[ { ""shape"": ""rectangle"", ""left"": 0.04628025351199249, ""top"": 0.9035143674330893, ""width"": 0.11226339246961142, ""height"": 0.036175099614268014 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/619.png	"[ { ""shape"": ""rectangle"", ""left"": 0.27764902988606116, ""top"": 0.4823399334296696, ""width"": 0.38357423125695794, ""height"": 0.07715914072775093 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/342.png	"[ { ""shape"": ""rectangle"", ""left"": 0.14376205484310936, ""top"": 0.9227264952837296, ""width"": 0.7412784829939537, ""height"": 0.056115738711091656 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/376.png	"[ { ""shape"": ""rectangle"", ""left"": 0.7992514518703956, ""top"": 0.4858878410729362, ""width"": 0.1458996442362399, ""height"": 0.05534238348940285 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2869.png	"[ { ""shape"": ""rectangle"", ""left"": 0.07953142377984698, ""top"": 0.7246960330588972, ""width"": 0.1483174717400808, ""height"": 0.05198159863259788 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/180.png	"[ { ""shape"": ""rectangle"", ""left"": 0.6924130315167428, ""top"": 0.2648914542860861, ""width"": 0.18548139258150187, ""height"": 0.056115738711091656 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/206.png	"[ { ""shape"": ""rectangle"", ""left"": 0.5616694292623952, ""top"": 0.02227427092450182, ""width"": 0.07809785987148787, ""height"": 0.05393890721767611 } ]"	True
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/44.png	"[ { ""shape"": ""rectangle"", ""left"": 0.7272384850456618, ""top"": 0.9351303741283528, ""width"": 0.16604135742882986, ""height"": 0.03989420347823347 } ]"	False
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2365.png	"[ { ""shape"": ""rectangle"", ""left"": 0.047256261564522783, ""top"": 0.9189905336372478, ""width"": 0.23828558165923097, ""height"": 0.047347654537483574 } ]"	False
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/25.png	"[ { ""shape"": ""rectangle"", ""left"": 0.14541247307150065, ""top"": 0.525936330246568, ""width"": 0.13870882919992886, ""height"": 0.040926158046030614 } ]"	False
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2128.png	"[ { ""shape"": ""rectangle"", ""left"": 0.3367751844491489, ""top"": 0.08815736950410662, ""width"": 0.13451887116455669, ""height"": 0.12450679526523455 } ]"	False
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/6.png	"[ { ""shape"": ""rectangle"", ""left"": 0.46236696562583696, ""top"": 0.8032518225456214, ""width"": 0.4992144547155745, ""height"": 0.13327487943884253 } ]"	False
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/112.png	"[ { ""shape"": ""rectangle"", ""left"": 0.2185026846087959, ""top"": 0.051948981922209356, ""width"": 0.18448794067938917, ""height"": 0.03815211378204433 } ]"	False
