image	outlines	result	hint
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1406.png	"[ { ""shape"": ""rectangle"", ""left"": 0.48785489082107536, ""top"": 0.15246015246015246, ""width"": 0.38207085910467453, ""height"": 0.1217943142242359 }, { ""shape"": ""rectangle"", ""left"": 0.4857736857736858, ""top"": 0.3049203049203049, ""width"": 0.38861894861894847, ""height"": 0.07669207669207667 }, { ""shape"": ""rectangle"", ""left"": 0.49694089694089694, ""top"": 0.4398244398244398, ""width"": 0.5025245025245025, ""height"": 0.08870408870408869 }, { ""shape"": ""rectangle"", ""left"": 0.4935907335907336, ""top"": 0.595056595056595, ""width"": 0.4042530442530443, ""height"": 0.11919611919611928 }, { ""shape"": ""rectangle"", ""left"": 0.4912826203278266, ""top"": 0.7705864579101998, ""width"": 0.4576018891513009, ""height"": 0.14464532315723633 } ]"	incorrect	No. The outlines are not accurate.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/3534.png	"[ { ""shape"": ""rectangle"", ""left"": 0.7189526920503114, ""top"": 0.07075278685957462, ""width"": 0.2810473079496886, ""height"": 0.670778674088475 }, { ""shape"": ""rectangle"", ""left"": 0, ""top"": 0.05218880141432161, ""width"": 0.3821986597987591, ""height"": 0.18192705736347944 }, { ""shape"": ""rectangle"", ""left"": 0, ""top"": 0.34302457338995196, ""width"": 0.23253020102029148, ""height"": 0.049503961187341405 }, { ""shape"": ""rectangle"", ""left"": 0.49445000388260985, ""top"": 0.8219753978774795, ""width"": 0.5055499961173902, ""height"": 0.1633630719182262 } ]"	incorrect	No. The elements are not outlined separately.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/4816.png	"[ { ""shape"": ""rectangle"", ""left"": 0.06826162345002329, ""top"": 0.17752173681122316, ""width"": 0.020358729800884143, ""height"": 0.014508988104763393 }, { ""shape"": ""rectangle"", ""left"": 0.18921642991409965, ""top"": 0.17240091748013014, ""width"": 0.015568440435970221, ""height"": 0.01792286765882542 }, { ""shape"": ""rectangle"", ""left"": 0.32933239383783164, ""top"": 0.13911559182802583, ""width"": 0.015568440435970221, ""height"": 0.015362457993278927 }, { ""shape"": ""rectangle"", ""left"": 0.06945919579125177, ""top"": 0.39686349815970556, ""width"": 0.020358729800884143, ""height"": 0.02133674721288742 }, { ""shape"": ""rectangle"", ""left"": 0.21197030439744075, ""top"": 0.3866218594975196, ""width"": 0.01916115745965566, ""height"": 0.012802048327732518 }, { ""shape"": ""rectangle"", ""left"": 0.26705863209395075, ""top"": 0.50781458366672, ""width"": 0.013173295753513281, ""height"": 0.01877633754734087 }, { ""shape"": ""rectangle"", ""left"": 0.04824292942197087, ""top"": 0.8297545333703326, ""width"": 0.017835062068981826, ""height"": 0.02310991678998986 }, { ""shape"": ""rectangle"", ""left"": 0.3027979062247116, ""top"": 0.8956177962218035, ""width"": 0.016213692789983525, ""height"": 0.020798925110990796 }, { ""shape"": ""rectangle"", ""left"": 0.3514389845946621, ""top"": 0.9788134966657669, ""width"": 0.021077800626978505, ""height"": 0.017332437592492256 }, { ""shape"": ""rectangle"", ""left"": 0.7048974874163021, ""top"": 0.8285990375308332, ""width"": 0.021077800626978616, ""height"": 0.02310991678998975 }, { ""shape"": ""rectangle"", ""left"": 0.946481509987056, ""top"": 0.8285990375308332, ""width"": 0.017835062068981777, ""height"": 0.020798925110990685 }, { ""shape"": ""rectangle"", ""left"": 0.7421889808332641, ""top"": 0.9002397795798015, ""width"": 0.030806016300968686, ""height"": 0.017332437592492367 }, { ""shape"": ""rectangle"", ""left"": 0.8491993532471551, ""top"": 0.9741915133077689, ""width"": 0.01783506206898189, ""height"": 0.01617694175299278 } ]"	human_error	The elements are outlined correctly, only a few are missing. This is a human error.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/8.png	"[ { ""shape"": ""rectangle"", ""left"": 0.2264097944097944, ""top"": 0.012936012936012938, ""width"": 0.5857648417648419, ""height"": 0.036960036960036954 }, { ""shape"": ""rectangle"", ""left"": 0.1128020328020328, ""top"": 0.19034419034419034, ""width"": 0.17484315084315086, ""height"": 0.03418803418803418 }, { ""shape"": ""rectangle"", ""left"": 0.1128020328020328, ""top"": 0.23746823746823748, ""width"": 0.20546084546084545, ""height"": 0.03141603141603139 }, { ""shape"": ""rectangle"", ""left"": 0.09104735504735505, ""top"": 0.2984522984522984, ""width"": 0.27233633633633636, ""height"": 0.03049203049203053 }, { ""shape"": ""rectangle"", ""left"": 0.012992093519880522, ""top"": 0.6934217072220318, ""width"": 0.17378859347446438, ""height"": 0.034316357542500064 }, { ""shape"": ""rectangle"", ""left"": 0.017595764870197456, ""top"": 0.7409366638193396, ""width"": 0.13926105834708735, ""height"": 0.029036917920576943 }, { ""shape"": ""rectangle"", ""left"": 0.021048518382935165, ""top"": 0.7897714803221282, ""width"": 0.17954318266236052, ""height"": 0.025077338204134825 }, { ""shape"": ""rectangle"", ""left"": 0.014143011357459746, ""top"": 0.8333268572029937, ""width"": 0.18990144320057367, ""height"": 0.032996497637019395 }, { ""shape"": ""rectangle"", ""left"": 0.44228444693693486, ""top"": 0.8003303595659744, ""width"": 0.1346573869967705, ""height"": 0.029036917920576943 }, { ""shape"": ""rectangle"", ""left"": 0.47566106422673265, ""top"": 0.849165176068763, ""width"": 0.054093138366224036, ""height"": 0.027717058015096385 }, { ""shape"": ""rectangle"", ""left"": 0.4284734328859841, ""top"": 0.8979999925715517, ""width"": 0.16573216861140977, ""height"": 0.025077338204134603 }, { ""shape"": ""rectangle"", ""left"": 0.44228444693693486, ""top"": 0.9507943887907825, ""width"": 0.14156289402224592, ""height"": 0.021117758487692373 }, { ""shape"": ""rectangle"", ""left"": 0.44573720044967263, ""top"": 0.2842651365229921, ""width"": 0.12199729078339877, ""height"": 0.03167663773153856 }, { ""shape"": ""rectangle"", ""left"": 0.4434353647745141, ""top"": 0.3357396728367423, ""width"": 0.10588444105728961, ""height"": 0.021117758487692373 }, { ""shape"": ""rectangle"", ""left"": 0.4480390361248311, ""top"": 0.37929504971760786, ""width"": 0.08746975565602177, ""height"": 0.031676637731538504 }, { ""shape"": ""rectangle"", ""left"": 0.43192618639872177, ""top"": 0.4254901464094349, ""width"": 0.11048811240760653, ""height"": 0.026397198109615383 }, { ""shape"": ""rectangle"", ""left"": 0.4434353647745141, ""top"": 0.45980650395193506, ""width"": 0.18069410049993978, ""height"": 0.023757478298653878 }, { ""shape"": ""rectangle"", ""left"": 0.723108399306268, ""top"": 0.34365883226962696, ""width"": 0.20601429292668294, ""height"": 0.036956077353461625 }, { ""shape"": ""rectangle"", ""left"": 0.7219574814686888, ""top"": 0.39645322848885794, ""width"": 0.11969545510824031, ""height"": 0.027717058015096163 }, { ""shape"": ""rectangle"", ""left"": 0.6736189322903611, ""top"": 0.46904552329030036, ""width"": 0.168034004286568, ""height"": 0.031676637731538615 }, { ""shape"": ""rectangle"", ""left"": 0.7173538101183718, ""top"": 0.5178803397930891, ""width"": 0.10358260538213104, ""height"": 0.029036917920576832 }, { ""shape"": ""rectangle"", ""left"": 0.6517514933763555, ""top"": 0.657785489774051, ""width"": 0.13235555132161192, ""height"": 0.030356777826057613 }, { ""shape"": ""rectangle"", ""left"": 0.658657000401831, ""top"": 0.7118997458987626, ""width"": 0.17033583996172674, ""height"": 0.026397198109615605 }, { ""shape"": ""rectangle"", ""left"": 0.6575060825642518, ""top"": 0.756774982685109, ""width"": 0.13926105834708724, ""height"": 0.030356777826057724 } ]"	incorrect	No. Lines of text should not be outlined separately.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2288.png	"[ { ""shape"": ""rectangle"", ""left"": 0.20418506731133965, ""top"": 0.056106641071525354, ""width"": 0.5891525216548199, ""height"": 0.11027621415782898 }, { ""shape"": ""rectangle"", ""left"": 0.17987083625891848, ""top"": 0.39112298788011973, ""width"": 0.6340403328285205, ""height"": 0.36991388293448974 } ]"	incorrect	No. The outlines are not accurate and elements are not outlined separately!
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/1.png	"[ { ""shape"": ""rectangle"", ""left"": 0.1347268647795859, ""top"": 0.15937207272025086, ""width"": 0.06571447895803714, ""height"": 0.07676925111920213 }, { ""shape"": ""rectangle"", ""left"": 0.011512216733266457, ""top"": 0.44853625193591246, ""width"": 0.071875211360353, ""height"": 0.0818872011938156 }, { ""shape"": ""rectangle"", ""left"": 0.8226753163715363, ""top"": 0.5688080786893291, ""width"": 0.06366090149059866, ""height"": 0.0767692511192023 }, { ""shape"": ""rectangle"", ""left"": 0.9191934573411535, ""top"": 0.747936331300801, ""width"": 0.08008952123010771, ""height"": 0.07421027608189545 } ]"	correct	Yes. The elements are outlined correctly.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/953.png	"[ { ""shape"": ""rectangle"", ""left"": 0.013157353310636702, ""top"": 0.3568314466887486, ""width"": 0.9245529861711892, ""height"": 0.10729926017070562 }, { ""shape"": ""rectangle"", ""left"": 0.027933314276842924, ""top"": 0.8320138845875877, ""width"": 0.9583266112368034, ""height"": 0.11496349304004172 } ]"	incorrect	No. The elements are not outlined separately.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/663.png	"[ { ""shape"": ""rectangle"", ""left"": 0.2522057058272454, ""top"": 0.07878098968364, ""width"": 0.2300234567192403, ""height"": 0.10192564248353392 }, { ""shape"": ""rectangle"", ""left"": 0.13781566248578533, ""top"": 0.5055946175834383, ""width"": 0.06216850181601086, ""height"": 0.07962940819026099 }, { ""shape"": ""rectangle"", ""left"": 0.24723222568196448, ""top"": 0.6361868470154661, ""width"": 0.23624030690084138, ""height"": 0.11148117146636527 }, { ""shape"": ""rectangle"", ""left"": 0.141545772594746, ""top"": 0.8225196621806765, ""width"": 0.0646552418886513, ""height"": 0.042999880422740944 }, { ""shape"": ""rectangle"", ""left"": 0.7378468776939415, ""top"": 0.9565569208423297, ""width"": 0.2621531223060585, ""height"": 0.04344307915767032 } ]"	incorrect	No. The credit or website should not be outlined.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/29.png	"[ { ""shape"": ""rectangle"", ""left"": 0.18415662245228995, ""top"": 0.07315073891128732, ""width"": 0.0724378029536106, ""height"": 0.04542445021586397 }, { ""shape"": ""rectangle"", ""left"": 0.5153008645259384, ""top"": 0.005014063587491327, ""width"": 0.0974460920685476, ""height"": 0.03633956017269118 }, { ""shape"": ""rectangle"", ""left"": 0.022896275400799658, ""top"": 0.3229852150985393, ""width"": 0.10262022085094835, ""height"": 0.03747517142808776 }, { ""shape"": ""rectangle"", ""left"": 0.20054136359655902, ""top"": 0.28778126618124467, ""width"": 0.15781092786322312, ""height"": 0.08630645541014159 }, { ""shape"": ""rectangle"", ""left"": 0.629994052535822, ""top"": 0.22759386964522488, ""width"": 0.10089551125681473, ""height"": 0.07835717662236541 }, { ""shape"": ""rectangle"", ""left"": 0.14448830178721744, ""top"": 0.5205815735375476, ""width"": 0.1578109278632231, ""height"": 0.08289962164395182 }, { ""shape"": ""rectangle"", ""left"": 0.5118514453376712, ""top"": 0.462665399512321, ""width"": 0.10089551125681473, ""height"": 0.08403523289934844 }, { ""shape"": ""rectangle"", ""left"": 0.8257485914699837, ""top"": 0.32639204886472906, ""width"": 0.14573796070428813, ""height"": 0.08176401038855519 }, { ""shape"": ""rectangle"", ""left"": 0.7188165966337015, ""top"": 0.5784977475627742, ""width"": 0.125041445574685, ""height"": 0.08062839913315867 }, { ""shape"": ""rectangle"", ""left"": 0.5066773165552705, ""top"": 0.7272628220197287, ""width"": 0.15091208948668877, ""height"": 0.07835717662236541 }, { ""shape"": ""rectangle"", ""left"": 0.12489222091048131, ""top"": 0.7388786974189064, ""width"": 0.1673732437745824, ""height"": 0.07551056265398026 }, { ""shape"": ""rectangle"", ""left"": 0.3093127395139563, ""top"": 0.8980631267975674, ""width"": 0.13482844637396907, ""height"": 0.07959221468933042 } ]"	correct	Yes! The elements are mostly outlined correctly.
https://s3.datacloud.helsinki.fi/crowdsrc:ai2d/2485.png	"[ { ""shape"": ""rectangle"", ""left"": 0.367384268445142, ""top"": 0.9734851862227321, ""width"": 0.3199259695597289, ""height"": 0.026514813777267943 }, { ""shape"": ""polygon"", ""points"": [ { ""left"": 0, ""top"": 0.17818049685667678 }, { ""left"": 0.6890489661003042, ""top"": 0 }, { ""left"": 1, ""top"": 0.15328400223304375 }, { ""left"": 1, ""top"": 0.6498307561155026 }, { ""left"": 0.908128706124901, ""top"": 0.8434701587437595 }, { ""left"": 0.5464732622747728, ""top"": 0.8877305936302182 }, { ""left"": 0.29088023224607645, ""top"": 0.8476195745143651 }, { ""left"": 0.03007101793108013, ""top"": 0.7093057154941814 }, { ""left"": 0, ""top"": 0.49076981824229154 } ]}]"	incorrect	No. Only text elements should be outlined. 
